event_id,investigation_type,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,state_code,US_State,Abbreviation
20130122X90030,Accident,2013-01-22,"Mesa, AZ",United States,Non-Fatal,Substantial,Helicopter,GOETZ,HELICYCLE,Yes,1.0,Turbo Shaft,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,AZ,Arizona,AZ
20130128X95910,Accident,2013-01-26,"Lake City, FL",United States,Non-Fatal,Substantial,Airplane,MALLORY CHRISTOPHER L,RV-8,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,FL,Florida,FL
20130128X93359,Accident,2013-01-27,"Palmetto, FL",United States,Non-Fatal,Substantial,Airplane,SHOEMAKER JAMES B,KR-2,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Unknown,FL,Florida,FL
20130130X44629,Accident,2013-01-28,"Gainsville, TX",United States,Non-Fatal,Substantial,Gyrocraft,WEBB,WEBB 2,Yes,1.0,Reciprocating,Flight Test,0.0,0.0,0.0,1.0,VMC,Unknown,TX,Texas,TX
20130130X10303,Accident,2013-01-29,"Westminster, MD",United States,Non-Fatal,Substantial,Gyrocraft,AMIRKHANIAN SHAHRAM CHARL,COMMANDER,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Unknown,MD,Maryland,MD
20130206X01948,Accident,2013-02-04,"Montrose, GA",United States,Non-Fatal,Substantial,Gyrocraft,MCCOWAN STEVE A,SHTTD,Yes,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Unknown,GA,Georgia,GA
20130214X53155,Accident,2013-02-09,"Lewisburg, TN",United States,Non-Fatal,Substantial,Airplane,TRIAD INTERNATIONAL TECHNOLOGY,RV6A,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,TN,Tennessee,TN
20130212X61326,Accident,2013-02-12,"Williams, CA",United States,Non-Fatal,Destroyed,Airplane,ST CLAIR,LANCAIR 360,Yes,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Unknown,CA,California,CA
20130222X34048,Accident,2013-02-21,"Lake Placid, NY",United States,Non-Fatal,Substantial,Airplane,DOMBROSKI FRANK,VANS RV-10,Yes,1.0,Reciprocating,Personal,0.0,3.0,0.0,0.0,IMC,Unknown,NY,New York,NY
20130227X02738,Incident,2013-02-21,"Indianapolis, IN",United States,Non-Fatal,Minor,Airplane,TTX Air LLC,Lancair,Yes,1.0,Turbo Prop,Instructional,0.0,0.0,0.0,2.0,VMC,Unknown,IN,Indiana,IN
